date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:38	95730/95730	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Oct%202017%2015:21:45%20GMT	http://www.udghosh.org/Informals/images/informals/treasure.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/treasure.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:58:58	120175/120175	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/blind%20fold.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/blind%20fold.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:58:59	129643/129643	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/baby%20rattle.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/baby%20rattle.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:59:14	241938/241938	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/yank%20me.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/yank%20me.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:59:25	330665/330665	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Oct%202017%2016:03:19%20GMT	http://www.udghosh.org/Informals/images/informals/pool.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/pool.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:59:32	112847/112847	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/candelier.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/candelier.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:59:43	277578/277578	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/this%20blows_2.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/this%20blows_2.jpg	(from http://www.udghosh.org/Informals/funzone.html)
07:59:45	288963/288963	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/bottle%20neckin.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/bottle%20neckin.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:00	216638/216638	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/Cuppaccino.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/Cuppaccino.jpg	(from http://www.udghosh.org/Informals/funzone.html)
08:00:01	177669/177669	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Oct%202017%2012:03:08%20GMT	http://www.udghosh.org/Informals/images/informals/defying%20gravity.jpg	C:/Users/Ashray%20Aggarwal/Desktop/New%20folder%20(2)/Aahvaan/www.udghosh.org/Informals/images/informals/defying%20gravity.jpg	(from http://www.udghosh.org/Informals/funzone.html)
